Hz,
4.4763e+09,-92.3164
4.47879e+09,-98.2728
4.48129e+09,-87.4314
4.48378e+09,-86.5319
4.48627e+09,-83.7357
4.48877e+09,-103.042
4.49126e+09,-98.8803
4.49375e+09,-90.4783
4.49625e+09,-91.1888
4.49874e+09,-86.5509
4.50124e+09,-92.5316
4.50373e+09,-89.4047
4.50622e+09,-82.5212
4.50872e+09,-87.7686
4.51121e+09,-84.2918
4.5137e+09,-88.0839
4.5162e+09,-88.2651
4.51869e+09,-92.3516
4.52118e+09,-85.3508
4.52368e+09,-87.1664
4.52617e+09,-99.1974
4.52866e+09,-83.1723
4.53116e+09,-91.0792
4.53365e+09,-83.8153
4.53614e+09,-88.5327
4.53864e+09,-96.044
4.54113e+09,-95.1423
4.54362e+09,-86.1276
4.54612e+09,-87.8712
4.54861e+09,-88.9133
4.55111e+09,-92.64
4.5536e+09,-84.3953
4.55609e+09,-114.554
4.55859e+09,-93.7034
4.56108e+09,-90.2941
4.56357e+09,-84.3847
4.56607e+09,-85.8157
4.56856e+09,-85.33
4.57105e+09,-91.4254
4.57355e+09,-96.9682
4.57604e+09,-92.5194
4.57853e+09,-82.0703
4.58103e+09,-86.7866
4.58352e+09,-88.6372
4.58601e+09,-88.6198
4.58851e+09,-89.4776
4.591e+09,-83.1577
4.59349e+09,-85.2523
4.59599e+09,-87.0728
4.59848e+09,-98.8176
4.60098e+09,-91.8944
4.60347e+09,-92.4352
4.60596e+09,-87.5937
4.60846e+09,-96.091
4.61095e+09,-91.1095
4.61344e+09,-88.2595
4.61594e+09,-86.6241
4.61843e+09,-82.2456
4.62092e+09,-85.3639
4.62342e+09,-85.1271
4.62591e+09,-83.6472
4.6284e+09,-82.2996
4.6309e+09,-98.744
4.63339e+09,-96.2032
4.63588e+09,-91.1519
4.63838e+09,-100.038
4.64087e+09,-88.2488
4.64336e+09,-87.3786
4.64586e+09,-91.3567
4.64835e+09,-89.0174
4.65085e+09,-98.0881
4.65334e+09,-90.2097
4.65583e+09,-93.3465
4.65833e+09,-83.1839
4.66082e+09,-92.9929
4.66331e+09,-96.7494
4.66581e+09,-104.412
4.6683e+09,-90.308
4.67079e+09,-82.7664
4.67329e+09,-102.079
4.67578e+09,-85.1568
4.67827e+09,-95.8558
4.68077e+09,-84.2825
4.68326e+09,-92.2997
4.68575e+09,-90.2066
4.68825e+09,-80.199
4.69074e+09,-83.4852
4.69323e+09,-102.291
4.69573e+09,-93.8657
4.69822e+09,-94.4332
4.70072e+09,-83.1993
4.70321e+09,-88.8484
4.7057e+09,-90.2291
4.7082e+09,-90.5422
4.71069e+09,-87.6209
4.71318e+09,-86.8071
4.71568e+09,-88.4998
4.71817e+09,-90.1148
4.72066e+09,-90.0086
4.72316e+09,-87.751
4.72565e+09,-86.7719
4.72814e+09,-93.5129
4.73064e+09,-94.925
4.73313e+09,-112.382
4.73562e+09,-82.8198
4.73812e+09,-83.144
4.74061e+09,-88.7612
4.7431e+09,-84.9528
4.7456e+09,-97.9972
4.74809e+09,-84.8747
4.75059e+09,-86.4231
4.75308e+09,-95.2324
4.75557e+09,-95.2749
4.75807e+09,-87.5301
4.76056e+09,-87.6345
4.76305e+09,-97.3351
4.76555e+09,-92.5253
4.76804e+09,-81.2865
4.77053e+09,-97.2519
4.77303e+09,-87.7859
4.77552e+09,-94.0838
4.77801e+09,-102.884
4.78051e+09,-96.6677
4.783e+09,-93.4692
4.78549e+09,-91.3403
4.78799e+09,-97.8842
4.79048e+09,-82.9703
4.79297e+09,-89.7694
4.79547e+09,-95.6542
4.79796e+09,-92.6153
4.80046e+09,-85.1532
4.80295e+09,-82.239
4.80544e+09,-86.5271
4.80794e+09,-83.514
4.81043e+09,-82.4926
4.81292e+09,-84.4078
4.81542e+09,-96.2365
4.81791e+09,-88.8589
4.8204e+09,-98.2508
4.8229e+09,-88.952
4.82539e+09,-80.8284
4.82788e+09,-90.5919
4.83038e+09,-93.3178
4.83287e+09,-86.6691
4.83536e+09,-87.1564
4.83786e+09,-89.0066
4.84035e+09,-84.9017
4.84284e+09,-92.2281
4.84534e+09,-89.4138
4.84783e+09,-99.1287
4.85033e+09,-89.693
4.85282e+09,-90.5979
4.85531e+09,-89.8037
4.85781e+09,-87.3643
4.8603e+09,-85.4456
4.86279e+09,-86.7161
4.86529e+09,-82.867
4.86778e+09,-84.1497
4.87027e+09,-85.4055
4.87277e+09,-86.6021
4.87526e+09,-96.6515
4.87775e+09,-86.1296
4.88025e+09,-81.7369
4.88274e+09,-85.3065
4.88523e+09,-86.3083
4.88773e+09,-85.8372
4.89022e+09,-84.9261
4.89271e+09,-86.8628
4.89521e+09,-91.4219
4.8977e+09,-103.773
4.9002e+09,-92.1
4.90269e+09,-83.3546
4.90518e+09,-87.819
4.90768e+09,-99.345
4.91017e+09,-87.9732
4.91266e+09,-89.0895
4.91516e+09,-85.2301
4.91765e+09,-85.1253
4.92014e+09,-89.8547
4.92264e+09,-84.9679
4.92513e+09,-88.6594
4.92762e+09,-86.5979
4.93012e+09,-87.8567
4.93261e+09,-87.8986
4.9351e+09,-91.79
4.9376e+09,-92.2849
4.94009e+09,-91.3516
4.94258e+09,-96.2067
4.94508e+09,-87.4092
4.94757e+09,-90.026
4.95007e+09,-101.146
4.95256e+09,-93.091
4.95505e+09,-85.848
4.95755e+09,-89.0665
4.96004e+09,-93.1515
4.96253e+09,-91.0687
4.96503e+09,-87.4209
4.96752e+09,-100.017
4.97001e+09,-93.0316
4.97251e+09,-84.68
4.975e+09,-91.2173
